res,tru,controls
255.83219146728516,350.12176513671875,0.36400002241134644
255.9759023785591,350.1239929199219,0.36500000953674316
257.0861430168152,350.1204833984375,0.3700000047683716
257.2293352484703,350.12249755859375,0.3750000298023224
258.33854150772095,350.1201171875,0.3800000250339508
258.4809574484825,350.1240234375,0.38200002908706665
259.58977603912354,350.1275634765625,0.37700000405311584
259.73296636343,350.1261901855469,0.3750000298023224
260.8421745300293,350.1211242675781,0.3760000169277191
260.98510640859604,350.12255859375,0.37700000405311584
262.0941834449768,350.1247253417969,0.37400001287460327
262.2377628684044,350.1256408691406,0.3750000298023224
263.34658193588257,350.1220397949219,0.37800002098083496
263.4895159602165,350.1235046386719,0.3790000081062317
264.5982060432434,350.12396240234375,0.3800000250339508
264.74113816022873,350.12005615234375,0.3830000162124634
265.84905099868774,350.12298583984375,0.3840000033378601
265.99198311567307,350.1253967285156,0.37700000405311584
267.10105991363525,350.1233825683594,0.37800002098083496
267.2437362074852,350.128173828125,0.3790000081062317
268.3526840209961,350.12213134765625,0.5550000071525574
268.46468085050583,350.1260986328125,0.5520000457763672
269.5740154981613,350.1260681152344,0.5509999990463257
269.6865310072899,350.1253662109375,0.5520000457763672
270.79534697532654,350.12713623046875,0.5540000200271606
270.9074756503105,350.12353515625,0.5540000200271606
272.01629161834717,350.1225891113281,0.5509999990463257
272.1293258070946,350.1208190917969,0.550000011920929
273.2381417751312,350.1221923828125,0.5520000457763672
273.3506572842598,350.12591552734375,0.5509999990463257
274.4599919319153,350.1253662109375,0.5540000200271606
274.5716019272804,350.1250305175781,0.5530000329017639
275.6813234090805,350.12298583984375,0.5530000329017639
275.79293340444565,350.1236877441406,0.5530000329017639
276.9026548862457,350.12310791015625,0.5540000200271606
277.0138780474663,350.1181945800781,0.5540000200271606
278.12359952926636,350.1180114746094,0.5540000200271606
278.2348226904869,350.1214599609375,0.5540000200271606
279.344544172287,350.12261962890625,0.5540000200271606
279.45576733350754,350.12237548828125,0.5550000071525574
280.5654888153076,350.1219787597656,0.5540000200271606
280.67671197652817,350.1231994628906,0.5550000071525574
281.78643345832825,350.12261962890625,0.5530000329017639
281.8980434536934,350.1292724609375,0.5540000200271606
283.0073781013489,350.1272888183594,0.5520000457763672
