error,treshold
1.1219849586486816,0.24888844788074493
1.1219849586486816,0.24888844788074493
1.1219849586486816,0.24888844788074493
1.1219849586486816,0.24888844788074493
1.1219849586486816,0.24888844788074493
1.1219849586486816,0.24888844788074493
0.31832870841026306,0.33699795603752136
0.31832870841026306,0.33699795603752136
0.31832870841026306,0.33699795603752136
0.31832870841026306,0.33699795603752136
0.31832870841026306,0.33699795603752136
0.31832870841026306,0.33699795603752136
0.20475463569164276,0.32258060574531555
0.20475463569164276,0.32258060574531555
0.20475463569164276,0.32258060574531555
0.20475463569164276,0.32258060574531555
0.20475463569164276,0.32258060574531555
0.20475463569164276,0.32258060574531555
0.49706488847732544,0.4191513657569885
0.49706488847732544,0.4191513657569885
0.49706488847732544,0.4191513657569885
0.49706488847732544,0.4191513657569885
0.49706488847732544,0.4191513657569885
0.49706488847732544,0.4191513657569885
0.42676883935928345,0.41069871187210083
0.42676883935928345,0.41069871187210083
0.42676883935928345,0.41069871187210083
0.42676883935928345,0.41069871187210083
0.42676883935928345,0.41069871187210083
0.42676883935928345,0.41069871187210083
0.8128452897071838,0.6999660134315491
0.8128452897071838,0.6999660134315491
0.8128452897071838,0.6999660134315491
0.8128452897071838,0.6999660134315491
0.8128452897071838,0.6999660134315491
0.8128452897071838,0.6999660134315491
1.4353370666503906,0.8415131568908691
1.4353370666503906,0.8415131568908691
1.4353370666503906,0.8415131568908691
1.4353370666503906,0.8415131568908691
1.4353370666503906,0.8415131568908691
1.4353370666503906,0.8415131568908691
0.5671656131744385,0.4311835467815399
0.5671656131744385,0.4311835467815399
0.5671656131744385,0.4311835467815399
0.5671656131744385,0.4311835467815399
0.5671656131744385,0.4311835467815399
0.5671656131744385,0.4311835467815399
0.945701003074646,0.6523817777633667
0.945701003074646,0.6523817777633667
0.945701003074646,0.6523817777633667
0.945701003074646,0.6523817777633667
0.945701003074646,0.6523817777633667
0.945701003074646,0.6523817777633667
28.592126846313477,11.569696426391602
28.592126846313477,11.569696426391602
28.592126846313477,11.569696426391602
28.592126846313477,11.569696426391602
28.592126846313477,11.569696426391602
