t,tsNoAbs,error
0.4136108160018921,-0.13934707641601562,0.0
0.10555744171142578,-0.9982274770736694,0.0
-0.08477604389190674,-0.32501769065856934,0.0
0.023444175720214844,0.13316428661346436,0.0
-0.10688602924346924,0.11958003044128418,0.0
0.6665736436843872,-0.4278593063354492,0.0
1.1409590244293213,0.45302122831344604,0.49505990743637085
0.4945037364959717,-0.19343405961990356,-0.18353936076164246
0.25836825370788574,-0.4295695424079895,-0.41456809639930725
0.5034546852111816,-0.18562638759613037,-0.13238999247550964
0.12519168853759766,-0.5642709732055664,-0.5668959617614746
0.5075960159301758,-0.1814860701560974,-0.16060569882392883
0.5999903678894043,-0.08871126174926758,-0.05806484818458557
0.6742854118347168,-0.015176177024841309,0.001581760123372078
1.1463055610656738,0.45722347497940063,0.4923853278160095
0.006064891815185547,-0.6830161809921265,-0.6546040177345276
0.48578786849975586,-0.2036747932434082,-0.1862352192401886
0.87542724609375,0.1863451600074768,0.21520373225212097
0.32221126556396484,-0.36648935079574585,-0.3227602541446686
0.9149150848388672,0.22545349597930908,0.24582049250602722
1.0928831100463867,0.4038010239601135,0.4362315833568573
1.0449800491333008,0.35589897632598877,0.3885055482387543
0.7391815185546875,0.04971885681152344,0.06593379378318787
0.7275257110595703,0.03844362497329712,0.06875357031822205
1.0839776992797852,0.39489662647247314,0.41492804884910583
1.0980148315429688,0.4085521697998047,0.4227188527584076
1.4445791244506836,0.7554970383644104,0.7949308753013611
1.2241649627685547,0.5350838899612427,0.553670346736908
0.7071361541748047,0.017673492431640625,0.03693971037864685
0.8344898223876953,0.14540773630142212,0.17566034197807312
0.5657672882080078,-0.1233137845993042,-0.10273328423500061
0.8973159790039062,0.2078533172607422,0.23062381148338318
1.2664871215820312,0.5774050354957581,0.6043470501899719
1.0768814086914062,0.38780033588409424,0.41248199343681335
0.6042194366455078,-0.08524322509765625,-0.0732252299785614
0.9860115051269531,0.29692941904067993,0.3375551402568817
1.5770606994628906,0.8879796266555786,0.8826575875282288
1.8266181945800781,1.137155532836914,1.1463731527328491
2.0557289123535156,1.3666467666625977,1.3980401754379272
1.777618408203125,1.088536262512207,1.108660101890564
2.258312225341797,1.5688495635986328,1.5911633968353271
2.4739913940429688,1.7849092483520508,1.7989652156829834
1.9701499938964844,1.2810678482055664,1.2871490716934204
1.9671096801757812,1.2776470184326172,1.3268030881881714
1.7496490478515625,1.0605669021606445,1.0942996740341187
2.255840301513672,1.566758155822754,1.601940393447876
2.3143272399902344,1.6248645782470703,1.6323521137237549
2.4580001831054688,1.7689180374145508,1.797741174697876
