ts,fixed threshold
0.20043611526489258,0.10000000149011612
0.3635132312774658,0.10000000149011612
1.1276965141296387,0.10000000149011612
0.7173924446105957,0.10000000149011612
0.549583911895752,0.10000000149011612
1.3193256855010986,0.10000000149011612
0.3112741708755493,0.10000000149011612
0.3077545166015625,0.10000000149011612
0.5261624455451965,0.10000000149011612
0.42360928654670715,0.10000000149011612
0.05451160669326782,0.10000000149011612
0.0866737961769104,0.10000000149011612
0.08196741342544556,0.10000000149011612
0.03000187873840332,0.10000000149011612
0.1302279829978943,0.10000000149011612
0.34670817852020264,0.10000000149011612
0.2945079803466797,0.10000000149011612
0.3104570508003235,0.10000000149011612
0.4078409671783447,0.10000000149011612
0.306671142578125,0.10000000149011612
0.31779855489730835,0.10000000149011612
0.16705691814422607,0.10000000149011612
0.3047828674316406,0.10000000149011612
0.5631805658340454,0.10000000149011612
0.3378276824951172,0.10000000149011612
0.21627956628799438,0.10000000149011612
0.1992950439453125,0.10000000149011612
0.14690721035003662,0.10000000149011612
0.3857768774032593,0.10000000149011612
0.2549952268600464,0.10000000149011612
0.5067770481109619,0.10000000149011612
0.9445829391479492,0.10000000149011612
1.1134092807769775,0.10000000149011612
0.27068233489990234,0.10000000149011612
0.48405390977859497,0.10000000149011612
0.42907261848449707,0.10000000149011612
0.6394070386886597,0.10000000149011612
0.7080123424530029,0.10000000149011612
0.06779742240905762,0.10000000149011612
0.9895284175872803,0.10000000149011612
1.1407768726348877,0.10000000149011612
0.20407605171203613,0.10000000149011612
0.9477181434631348,0.10000000149011612
0.7038376331329346,0.10000000149011612
0.7323489189147949,0.10000000149011612
0.3049459457397461,0.10000000149011612
0.15975522994995117,0.10000000149011612
0.3658602237701416,0.10000000149011612
0.16590023040771484,0.10000000149011612
0.8897354602813721,0.10000000149011612
0.6431962251663208,0.10000000149011612
0.5644583702087402,0.10000000149011612
0.7009224891662598,0.10000000149011612
0.5605489015579224,0.10000000149011612
0.4055575132369995,0.10000000149011612
0.3105839490890503,0.10000000149011612
0.25030946731567383,0.10000000149011612
0.4033820629119873,0.10000000149011612
1.278681755065918,0.10000000149011612
