lv_act,stoper
12.407000541687012,1.9238896369934082
12.407000541687012,2.8474483489990234
12.414000511169434,3.914414167404175
12.43600082397461,4.569880962371826
12.430000305175781,5.3414788246154785
12.429000854492188,6.719692707061768
12.428000450134277,7.747969150543213
12.427000999450684,8.959282875061035
12.428000450134277,10.285300254821777
12.433000564575195,10.605249404907227
12.4350004196167,11.401747703552246
12.43600082397461,11.778531074523926
12.43600082397461,11.975655555725098
12.43600082397461,13.234795570373535
12.667000770568848,13.634143829345703
12.838000297546387,14.266097068786621
12.834000587463379,14.9951810836792
12.829000473022461,15.84024715423584
12.825000762939453,16.840707778930664
12.827000617980957,17.652372360229492
12.826000213623047,17.822078704833984
12.824000358581543,17.994548797607422
12.819000244140625,18.546594619750977
12.820000648498535,19.829469680786133
12.819000244140625,20.934934616088867
12.820000648498535,22.54287338256836
12.817000389099121,23.734331130981445
12.762001037597656,25.510761260986328
12.402000427246094,27.323923110961914
12.164000511169434,28.555435180664062
12.709000587463379,29.625089645385742
13.191000938415527,30.36705780029297
13.22700023651123,30.92319679260254
13.338000297546387,32.21001434326172
13.42300033569336,33.544132232666016
13.42300033569336,34.37159729003906
13.417000770568848,36.21772384643555
13.425000190734863,38.0859260559082
13.429000854492188,41.2047004699707
13.442000389099121,43.74435043334961
13.476000785827637,46.25968933105469
13.49000072479248,49.217464447021484
13.746000289916992,52.03770065307617
13.738000869750977,55.148746490478516
13.732000350952148,58.93610382080078
13.731000900268555,63.172386169433594
13.390000343322754,67.61886596679688
10.168000221252441,72.2323989868164
8.64900016784668,76.0326919555664
8.646000862121582,78.50147247314453
8.646000862121582,79.22228240966797
