ts,fixed threshold
1.2351285219192505,0.10000000149011612
0.25830501317977905,0.10000000149011612
1.1155972480773926,0.10000000149011612
0.03066229820251465,0.10000000149011612
1.5931576490402222,0.10000000149011612
0.5049682855606079,0.10000000149011612
0.501590371131897,0.10000000149011612
0.1421356201171875,0.10000000149011612
0.37993288040161133,0.10000000149011612
0.13378608226776123,0.10000000149011612
0.5151641964912415,0.10000000149011612
0.13224631547927856,0.10000000149011612
0.040088772773742676,0.10000000149011612
0.034440457820892334,0.10000000149011612
0.5053797960281372,0.10000000149011612
0.6344719529151917,0.10000000149011612
0.15462124347686768,0.10000000149011612
0.23541992902755737,0.10000000149011612
0.3190231919288635,0.10000000149011612
0.27375513315200806,0.10000000149011612
0.4513346552848816,0.10000000149011612
0.4037349820137024,0.10000000149011612
0.09794706106185913,0.10000000149011612
0.08601981401443481,0.10000000149011612
0.4433025121688843,0.10000000149011612
0.4570518136024475,0.10000000149011612
0.8036108016967773,0.10000000149011612
0.0042858123779296875,0.10000000149011612
0.41108953952789307,0.10000000149011612
0.2847886085510254,0.10000000149011612
0.07328468561172485,0.10000000149011612
0.25796329975128174,0.10000000149011612
0.6260780096054077,0.10000000149011612
0.43612104654312134,0.10000000149011612
0.06438010931015015,0.10000000149011612
0.24154901504516602,0.10000000149011612
0.8547039031982422,0.10000000149011612
1.011628270149231,0.10000000149011612
1.266528844833374,0.10000000149011612
0.16617488861083984,0.10000000149011612
0.260833740234375,0.10000000149011612
0.2790684700012207,0.10000000149011612
0.2605628967285156,0.10000000149011612
0.0472111701965332,0.10000000149011612
0.012490034103393555,0.10000000149011612
0.14783334732055664,0.10000000149011612
0.2505314350128174,0.10000000149011612
0.4436793327331543,0.10000000149011612
