t,tsNoAbs,error
2.929999828338623,0.3915534019470215,0.0
2.3400001525878906,1.3381800651550293,0.0
1.9200000762939453,-2.272305488586426,0.0
2.189999580383301,-2.5964975357055664,0.0
1.9500007629394531,-1.002598524093628,0.0
1.5,-2.3920674324035645,0.0
1.9400005340576172,0.737825870513916,-0.3533008396625519
1.1399993896484375,-0.05294466018676758,-0.929817795753479
0.8199996948242188,-0.34935474395751953,-1.0491559505462646
2.3600006103515625,0.5837671756744385,-0.0916828140616417
1.739999771118164,0.5552608966827393,-0.22665563225746155
1.239999771118164,0.23474633693695068,-0.5766087770462036
0.3400001525878906,-0.5000540018081665,-1.1973294019699097
0.37999916076660156,-0.613386869430542,-1.2204155921936035
1.8000011444091797,0.682953953742981,-0.1402554214000702
0.4399986267089844,-0.20274293422698975,-0.739769697189331
-0.3099994659423828,-0.7023583650588989,-1.347536563873291
1.1200008392333984,0.48212623596191406,-0.22050252556800842
0.0,-0.6382232308387756,-1.2974722385406494
0.5399990081787109,-0.1013028621673584,-0.7876981496810913
-0.03999900817871094,-0.6829585433006287,-1.2082487344741821
-0.3299999237060547,-0.9250426292419434,-1.3434627056121826
2.0799999237060547,1.4532856941223145,0.4434165060520172
0.39999961853027344,-0.14835065603256226,-0.675006628036499
0.7800006866455078,0.1857466697692871,-0.5758984088897705
0.9500007629394531,0.30958092212677,-0.4890797436237335
0.6199989318847656,-0.027163982391357422,-0.6976433992385864
1.7299995422363281,1.0867443084716797,0.3911111652851105
0.020000457763671875,-0.6239447593688965,-1.143783688545227
1.3800010681152344,0.7362009882926941,-0.040350817143917084
0.279998779296875,-0.36377018690109253,-1.0355936288833618
0.48999786376953125,-0.15040642023086548,-0.8058966398239136
1.5300025939941406,0.8875100612640381,-0.014142245054244995
0.14999771118164062,-0.4904221296310425,-1.1058672666549683
0.7800025939941406,0.14100301265716553,-0.5421930551528931
0.18000030517578125,-0.4606322646141052,-1.0567536354064941
0.1399993896484375,-0.5030691027641296,-1.2912318706512451
-0.4799995422363281,-1.1202921867370605,-1.6808667182922363
-0.5,-1.1416130065917969,-1.673999547958374
-1.2400016784667969,-0.26913362741470337,-1.028498888015747
-0.6100006103515625,-0.38405537605285645,-1.0389347076416016
-0.020000457763671875,0.013015687465667725,-0.837444543838501
-0.3400001525878906,-0.10409271717071533,-0.7893456220626831
-0.14999771118164062,-0.0296517014503479,-0.7469714879989624
-0.10000228881835938,0.03960394859313965,-0.8332637548446655
-0.20999908447265625,0.1839699149131775,-0.63057541847229
-1.05999755859375,-0.42029982805252075,-1.0040537118911743
-0.7100028991699219,-0.13207083940505981,-0.8373304605484009
-1.6899986267089844,-0.16773200035095215,-0.9557086229324341
-1.489999771118164,-0.5133761763572693,-1.1775296926498413
-0.23000144958496094,0.05306041240692139,-0.691049337387085
0.6600017547607422,0.3848593235015869,-0.5512795448303223
0.8099994659423828,0.5434909462928772,-0.34932664036750793
0.3400001525878906,0.2621038556098938,-0.6542773246765137
0.5,-0.14018112421035767,-0.8660022020339966
-0.3300018310546875,-0.9699456095695496,-1.5444377660751343
0.220001220703125,-0.421495258808136,-1.0946263074874878
0.779998779296875,0.14151805639266968,-0.5835378170013428
1.3400001525878906,0.702541172504425,-0.11803968995809555
0.5300025939941406,-0.10841065645217896,-0.7605677843093872
-0.15999984741210938,-0.8026298880577087,-1.401909351348877
0.2599983215332031,-0.3799182176589966,-1.0144754648208618
0.8499984741210938,0.21031546592712402,-0.5883688926696777
