Time,TargetLevel,ActualLevel,StoperPo,CSTSpeed,TudishWeight,Auto_SPD_SET ValueY,AutoSpeed_Control ValueY,AutoSpeed_Start ValueY,Current Time,Current ValueY,Sensor_failing Time,Sensor_failing ValueY
2021/4/1 21:58,80,0.129998043,0.177000001,0,,0,0,0,,,,
2021/4/1 21:58,80,0.130933821,0.176000014,0,,0,0,0,,,,
2021/4/1 21:58,80,0.129460543,0.176000014,0,,0,0,0,,,,
2021/4/1 21:58,80,0.133138493,0.175000012,0,,0,0,0,,,,
2021/4/1 21:58,80,0.128505468,0.175000012,0,,0,0,0,,,,
2021/4/1 21:58,80,0.130741134,0.175000012,0,,0,0,0,,,,
2021/4/1 21:58,80,0.129626736,0.175000012,0,,0,0,0,,,,
2021/4/1 21:58,80,0.135119915,0.176000014,0,,0,0,0,,,,
2021/4/1 21:58,80,0.135979399,0.175000012,0,,0,0,0,,,,
2021/4/1 21:58,80,0.13102819,0.175000012,0,,0,0,0,,,,
2021/4/1 21:58,80,0.132299274,0.175000012,0,,0,0,0,,,,
2021/4/1 21:58,80,0.130910024,0.175000012,0,,0,0,0,,,,
2021/4/1 21:58,80,0.131529763,0.175000012,0,,0,0,0,,,,
2021/4/1 21:58,80,0.134305969,0.175000012,0,,0,0,0,,,,
2021/4/1 21:58,80,0.134971201,0.175000012,0,,0,0,0,,,,
2021/4/1 21:58,80,0.13099359,0.175000012,0,,0,0,0,,,,
2021/4/1 21:58,80,0.133297294,0.175000012,0,,0,0,0,,,,
2021/4/1 21:58,80,0.135089681,0.175000012,0,,0,0,0,,,,
2021/4/1 21:58,80,0.132349804,0.175000012,0,,0,0,0,,,,
2021/4/1 21:58,80,0.13514553,0.175000012,0,,0,0,0,,,,
2021/4/1 21:58,80,0.132776454,0.17400001,0,,0,0,0,,,,
2021/4/1 21:58,80,0.136001796,0.17400001,0,,0,0,0,,,,
2021/4/1 21:58,80,0.135262549,0.17400001,0,,0,0,0,,,,
2021/4/1 21:58,80,0.133397713,0.17400001,0,,0,0,0,,,,
