Time,TargetLevel,ActualLevel,StoperPo,CSTSpeed,TudishWeight,,CURRENT2 ValueY,sensor_fail Time,sensor_fail ValueY
2021/4/7 17:54,80,0.16120021,-0.244000018,0,17.04644012,,0,,
2021/4/7 17:54,80,0.157102972,-0.238000005,0,17.22547913,,0,,
2021/4/7 17:54,80,0.157499492,-0.220000014,0,17.29600525,,0,,
2021/4/7 17:54,80,0.158812478,-0.199000016,0,17.29600525,,0,,
2021/4/7 17:54,80,0.16185841,-0.199000016,0,17.399086,,0,,
2021/4/7 17:54,80,0.159557223,-0.198000014,0,17.5943985,,0,,
2021/4/7 17:54,80,0.160791978,-0.192000002,0,17.69747925,,0,,
2021/4/7 17:54,80,0.162491113,-0.191000015,0,17.69747925,,0,,
2021/4/7 17:54,80,0.162072197,-0.18900001,0,17.74630737,,0,,
2021/4/7 17:54,80,0.163290665,-0.180000007,0,17.89821625,,0,,
2021/4/7 17:54,80,0.162314624,-0.175000012,0,18.09895325,,0,,
2021/4/7 17:54,80,0.16448158,-0.172000006,0,18.09895325,,0,,
2021/4/7 17:54,80,0.162412792,-0.171000004,0,18.19661713,,0,,
2021/4/7 17:54,80,0.162658647,-0.134000003,0,18.24543762,,0,,
2021/4/7 17:54,80,0.158977002,-0.126000002,0,18.48958588,,0,,
2021/4/7 17:54,80,0.159491748,-0.125,0,18.54925537,,0,,
2021/4/7 17:54,80,0.162722439,-0.125,0,18.54925537,,0,,
2021/4/7 17:54,80,0.163228855,-0.125,0,18.74456787,,0,,
2021/4/7 17:54,80,0.166096464,-0.124000005,0,18.74456787,,0,,
2021/4/7 17:54,80,0.15974848,-0.129000008,0,18.89648438,,0,,
2021/4/7 17:54,80,0.160708785,-0.13000001,0,19.09722137,,0,,
2021/4/7 17:54,80,0.164105013,-0.230000004,0,19.09722137,,0,,
2021/4/7 17:54,80,0.163096786,-0.236000016,0,19.24913025,,0,,
2021/4/7 17:54,80,0.162061542,-0.234000012,0,19.39561462,,0,,
2021/4/7 17:54,80,0.166724399,-0.235000014,0,19.39561462,,0,,
2021/4/7 17:54,80,0.163923115,-0.235000014,0,19.5475235,,0,,
2021/4/7 17:54,80,0.162233219,-0.235000014,0,19.5475235,,0,,
2021/4/7 17:54,80,0.166048363,-0.235000014,0,19.7482605,,0,,
2021/4/7 17:54,80,0.16288133,-0.235000014,0,19.7482605,,0,,
2021/4/7 17:54,80,0.16213496,-0.235000014,0,19.84591675,,0,,
2021/4/7 17:54,80,0.164651453,-0.235000014,0,20.00868225,,0,,
2021/4/7 17:54,80,0.159911469,-0.235000014,0,20.19856262,,0,,
2021/4/7 17:54,80,0.161748439,-0.235000014,0,20.19856262,,0,,
2021/4/7 17:54,80,0.158905476,-0.234000012,0,20.355896,,0,,
2021/4/7 17:54,80,0.163573205,-0.231000006,0,20.44813538,,0,,
2021/4/7 17:54,80,0.162079364,-0.231000006,0,20.545784,,0,,
2021/4/7 17:54,80,0.16069977,-0.232000008,0,20.545784,,0,,
2021/4/7 17:54,80,0.15967676,-0.231000006,0,20.6977005,,0,,
2021/4/7 17:54,80,0.16084975,-0.231000006,0,20.79534912,,0,,
2021/4/7 17:54,80,0.162497252,-0.231000006,0,20.79534912,,0,,
2021/4/7 17:54,80,0.164461389,-0.229000017,0,20.94726563,,0,,
2021/4/7 17:54,80,0.163928688,-0.229000017,0,21.0991745,,0,,
2021/4/7 17:54,80,0.161796883,-0.229000017,0,21.24565887,,0,,
2021/4/7 17:54,80,0.157190293,-0.228000015,0,21.24565887,,0,,
2021/4/7 17:54,80,0.1616344,-0.229000017,0,21.34873962,,0,,
2021/4/7 17:54,80,0.16275911,-0.228000015,0,21.54947662,,0,,
2021/4/7 17:54,80,0.161833331,-0.228000015,0,21.54947662,,0,,
2021/4/7 17:54,80,0.165402904,-0.228000015,0,21.64713287,,0,,
2021/4/7 17:54,80,0.16518043,-0.228000015,0,21.73394012,,0,,
2021/4/7 17:54,80,0.160716549,-0.227000013,0,21.83159637,,0,,
2021/4/7 17:54,80,0.160753652,-0.198000014,0,21.99977875,,0,,
2021/4/7 17:54,80,0.159240797,-0.176000014,0,21.99977875,,0,,
2021/4/7 17:54,80,0.16251494,-0.176000014,0,22.09744263,,0,,
2021/4/7 17:54,80,0.165302426,-0.176000014,0,22.19509125,,0,,
2021/4/7 17:54,80,0.161848217,-0.175000012,0,22.309021,,0,,
2021/4/7 17:54,80,0.161165968,-0.175000012,0,22.39582825,,0,,
2021/4/7 17:54,80,0.163726687,-0.175000012,0,22.49891663,,0,,
2021/4/7 17:54,80,0.165076733,-0.175000012,0,22.59657288,,0,,
2021/4/7 17:54,80,0.164655909,-0.175000012,0,22.79730988,,0,,
2021/4/7 17:54,80,0.164913148,-0.175000012,0,22.79730988,,0,,
2021/4/7 17:54,80,0.162557274,-0.175000012,0,22.8949585,,0,,
2021/4/7 17:54,80,0.161552414,-0.175000012,0,23.04686737,,0,,
2021/4/7 17:54,80,0.161499545,-0.175000012,0,23.04686737,,0,,
2021/4/7 17:54,80,0.161327049,-0.175000012,0,23.19878387,,0,,
2021/4/7 17:54,80,0.162675112,-0.175000012,0,23.24760437,,0,,
2021/4/7 17:54,80,0.16305621,-0.175000012,0,23.39952087,,0,,
2021/4/7 17:54,80,0.16182223,-0.175000012,0,23.60025787,,0,,
2021/4/7 17:54,80,0.160870656,-0.17400001,0,23.60025787,,0,,
2021/4/7 17:54,80,0.166977152,-0.173000008,0,23.72503662,,0,,
2021/4/7 17:54,80,0.163436428,-0.17400001,0,23.79557037,,0,,
